id,h_mm,h_MM,fm,me_node,me_node_bin,me_node_bin_value
4259,0.2,0.2,0.1,0.2273304473304473,"(0.188, 0.313]",0.25
4262,0.2,0.5,0.1,-0.0045454545454545,"(-0.0626, 0.0626]",0.0
4265,0.2,0.8,0.1,-0.0727453102453102,"(-0.188, -0.0626]",-0.13
4292,0.5,0.2,0.1,0.2071789321789321,"(0.188, 0.313]",0.25
4295,0.5,0.5,0.1,-0.0218795093795093,"(-0.0626, 0.0626]",0.0
4298,0.5,0.8,0.1,-0.0724783549783549,"(-0.188, -0.0626]",-0.13
4325,0.8,0.2,0.1,0.2480880230880231,"(0.188, 0.313]",0.25
4328,0.8,0.5,0.1,-0.0311580086580086,"(-0.0626, 0.0626]",0.0
4331,0.8,0.8,0.1,-0.0699531024531024,"(-0.188, -0.0626]",-0.13
4501,0.2,0.2,0.3,0.1386363636363636,"(0.0626, 0.188]",0.13
4504,0.2,0.5,0.3,-0.0913239538239538,"(-0.188, -0.0626]",-0.13
4507,0.2,0.8,0.3,-0.214054834054834,"(-0.314, -0.188]",-0.25
4534,0.5,0.2,0.3,0.2343939393939393,"(0.188, 0.313]",0.25
4537,0.5,0.5,0.3,-0.0269841269841269,"(-0.0626, 0.0626]",0.0
4540,0.5,0.8,0.3,-0.2013059163059163,"(-0.314, -0.188]",-0.25
4567,0.8,0.2,0.3,0.3129653679653679,"(0.188, 0.313]",0.25
4570,0.8,0.5,0.3,0.1309559884559884,"(0.0626, 0.188]",0.13
4573,0.8,0.8,0.3,-0.1258513708513708,"(-0.188, -0.0626]",-0.13
